inspection_id,project_id,inspection_date,inspector_name,inspector_id,inspection_type,result,score_out_of_100,deficiencies_found,reinspection_required,reinspection_date,regulatory_body,notes
1,1,09/28/2024,G. Martinez,,Environmental Compliance,Pass,n/a,2,Y,06/12/2019,FAA,
2,1,2024/02/16,S. Williams,INS-53437,Electrical,Pass,98,3,,,State DEP,Closed
3,1,09/02/2023,M. Chen,INS-91623,Quality Control,Pass with Conditions,64,0,Y,11-18-2022,Army Corps,
4,1,01/09/2021,M. Chen,INS-27783,Environmental Compliance,Pass with Conditions,90,2,Y,08-06-2021,Local Building Dept,Closed
5,1,2020-08-16,A. Nguyen,INS-46731,Quality Control,Pass,-,2,N,,State DEP,
6,2,2023-04-21,I. Jackson,INS-32437,Plumbing,Fail,51,4,Y,08/06/2019,OSHA,
7,2,,H. Lee,,Routine Safety,Pass With Conditions,,1,N,,OSHA,Follow-up required
8,2,02-05-2025,M. Chen,INS-53810,Environmental Compliance,Pass,,3,N,,FHWA,Closed
9,2,2023/02/10,M. Chen,INS-84774,Environmental Compliance,Pass,,3,N,,FTA,
10,2,16/03/2023,S. Williams,INS-43355,Fire Safety,Pass,,2,N,,OSHA,
11,2,01/03/2019,H. Lee,,Final Walkthrough,Pass,73,n/a,N,,State DOT,Closed
12,3,08-24-2024,C. Richardson,INS-32934,Interim Progress,Pass,55,2,N,,EPA,Closed
13,4,2022/02/18,G. Martinez,INS-39311,Electrical,Pass,70,0,YES,,State DEP,
14,5,04-16-2020,H. Lee,INS-44128,Quality Control,Pass,67,3,N,,Army Corps,Closed
15,5,02/01/2022,B. Torres,,Plumbing,Pass,79,1,yes,,Local Building Dept,
16,5,09/12/2023,E. Hoffman,INS-83772,Quality Control,Fail,61,7,Y,01/26/2025,Army Corps,
17,5,06-10-2022,E. Hoffman,,Quality Control,Pass,80,1,yes,,FHWA,
18,6,2024-09-04,G. Martinez,INS-68990,Plumbing,Deferred,85,2,N,,Army Corps,Cited violation
19,6,02-02-2021,D. Freeman,INS-25379,Plumbing,,n/a,3,Y,13/03/2019,EPA,Closed
20,6,,H. Lee,INS-22108,Routine Safety,Pass,78,2,N,,FTA,
21,7,05/03/2024,M. Chen,,Quality Control,Pass,62,0,N,,State DEP,
22,7,12-10-2022,A. Nguyen,INS-61681,Structural,Pass,100,2,,2019-11-07,Army Corps,Follow-up required
23,8,05/22/2023,B. Torres,,Electrical,Pass with Conditions,69,0,Y,2021/08/22,State DEP,Follow-up required
24,8,01/10/2019,E. Hoffman,INS-76688,Fire Safety,Pass,92,3,N,,FHWA,
25,8,08/08/2024,R. Patel,,Quality Control,Pass With Conditions,92,2,N,,State DEP,
26,8,03-27-2020,R. Patel,INS-34446,Routine Safety,Pass,57,2,YES,2020-02-15,Army Corps,Closed
27,8,2022/06/08,D. Freeman,INS-59399,Routine Safety,Pass,67,2,,,OSHA,
28,8,11/10/2021,D. Freeman,INS-64418,Environmental Compliance,Pass,85,2,N,,Local Building Dept,
29,9,06-29-2020,J. Kowalski,INS-35310,Structural,Pass,55,2,N,,FAA,
30,9,06/06/2023,C. Richardson,INS-28679,Routine Safety,Pass,,1,yes,2023/11/08,Local Building Dept,Follow-up required
31,9,24/08/2019,K. O'Brien,INS-89385,Structural,Pass,73,N/A,N,,Army Corps,
32,9,07-28-2019,R. Patel,INS-49627,Routine Safety,Pass,81,1,N,,Local Building Dept,
33,10,04-13-2025,I. Jackson,INS-83834,Environmental Compliance,Pass,59,1,Y,08-15-2022,Army Corps,
34,10,06-03-2023,K. O'Brien,INS-56699,Routine Safety,Pass,65,3,N,,Army Corps,
35,10,11/12/2022,J. Kowalski,INS-94232,Electrical,pass,46,4,Y,02/18/2020,Army Corps,
36,10,2019/04/11,S. Williams,INS-21732,Electrical,Pass,55,1,N,,EPA,
37,10,2019/06/22,G. Martinez,INS-31015,Structural,Pass,87,0,Y,,EPA,
38,10,16/06/2024,E. Hoffman,,Final Walkthrough,Pass with Conditions,78,0,Y,2023/03/27,Army Corps,
39,11,2025-01-24,C. Richardson,,Electrical,Pass,59,0,N,,FTA,Follow-up required
40,11,09-19-2024,R. Patel,INS-39624,Fire Safety,Pass,,2,,,FHWA,
41,11,2022/03/14,G. Martinez,INS-24996,Fire Safety,,70,0,Y,2023/01/28,FTA,Follow-up required
42,11,2021/05/19,A. Nguyen,INS-13036,Environmental Compliance,Pass,65,0,N,,FHWA,Follow-up required
43,11,,C. Richardson,INS-62183,Environmental Compliance,Pass,95,3,No,,FHWA,
44,11,,K. O'Brien,INS-92505,Interim Progress,Pass,91,2,N,,FAA,
45,12,08/19/2019,G. Martinez,INS-14081,Final Walkthrough,,81,2,No,,State DEP,
46,12,2023-05-31,G. Martinez,INS-88619,Quality Control,Pass,93,1,Y,07-20-2020,Local Building Dept,
47,12,,S. Williams,INS-85969,Environmental Compliance,Pass,90,0,N,,Army Corps,
48,13,2024-02-08,H. Lee,,Plumbing,Pass,93,1,Y,05/15/2019,State DOT,
49,13,2024/09/07,I. Jackson,INS-54319,Structural,Pass,98,0,,,State DOT,
50,14,2019/03/07,E. Hoffman,INS-18282,Quality Control,Pass with Conditions,59,1,Y,2023-04-28,EPA,
51,14,2024/12/29,M. Chen,INS-81518,Structural,Pass,90,N/A,Y,,State DOT,Follow-up required
52,14,,A. Nguyen,INS-70211,Environmental Compliance,Pass,82,0,No,,FAA,
53,14,07-20-2023,S. Williams,INS-72891,Plumbing,Pass,98,2,N,,OSHA,Cited violation
54,15,2024-01-16,B. Torres,INS-41088,Plumbing,,78,1,N,,FTA,
55,16,09/16/2023,D. Freeman,INS-19750,Environmental Compliance,pass,94,3,N,,EPA,Follow-up required
56,18,,S. Williams,INS-81294,Structural,,86,1,N,,FTA,
57,19,2023-11-11,I. Jackson,INS-41771,Electrical,Pass,93,2,N,,OSHA,Closed
58,19,2024-01-09,K. O'Brien,INS-85506,Routine Safety,Pass,65,1,Y,,FHWA,Closed
59,20,10/06/2024,A. Nguyen,INS-61363,Environmental Compliance,Pass,99,,No,,FHWA,
60,20,31/01/2020,G. Martinez,INS-40399,Interim Progress,FAIL,60,3,N,,OSHA,
61,20,11-22-2020,K. O'Brien,INS-80702,Quality Control,Pass,61,1,N,,FAA,
62,20,10/06/2020,I. Jackson,INS-58964,Quality Control,Pass,57,0,N,,Army Corps,
63,21,2019/09/07,R. Patel,INS-91417,Fire Safety,Pass,80,0,N,,Local Building Dept,Follow-up required
64,22,02-23-2019,C. Richardson,INS-89055,Electrical,Deferred,60,1,Y,04/17/2020,Local Building Dept,
65,22,,G. Martinez,INS-50038,Quality Control,Pass,86,0,N,,Army Corps,Closed
66,22,2024-02-04,R. Patel,INS-54009,Final Walkthrough,Pass,68,2,no,,FHWA,Closed
67,23,04/12/2019,K. O'Brien,TBD,Quality Control,Pass with Conditions,,1,Y,,State DOT,
68,23,13/05/2023,E. Hoffman,INS-87594,Fire Safety,Pass,70,3,N,,EPA,
69,23,2021-11-06,J. Kowalski,INS-51511,Fire Safety,Pass,97,3,N,,EPA,
70,23,2019-02-27,S. Williams,INS-37363,Structural,Pass With Conditions,N/A,0,N,,FAA,Follow-up required
71,23,2024-12-16,J. Kowalski,INS-77810,Final Walkthrough,Pass,92,1,yes,,EPA,Escalated to state
72,24,2020/03/04,R. Patel,INS-10217,Routine Safety,fail,100,1,Y,2019-08-04,FTA,
73,24,04-05-2021,K. O'Brien,INS-87641,Interim Progress,Pass,,0,N,,Local Building Dept,Cited violation
74,25,08/16/2022,G. Martinez,,Structural,Pass,59,0,N,,OSHA,Escalated to state
75,25,2024/08/07,M. Chen,INS-52507,Structural,Pass,80,3,Y,2021-03-28,OSHA,Closed
76,25,2020-06-11,E. Hoffman,INS-65572,Environmental Compliance,Pass,73,0,,05-07-2025,EPA,
77,25,2023-10-01,H. Lee,INS-56896,Fire Safety,Pass,79,0,N,,FTA,Escalated to state
78,25,2024/10/15,K. O'Brien,INS-71257,Routine Safety,Pass,91,0,N,,FTA,
79,26,,A. Nguyen,INS-23217,Final Walkthrough,Fail,,0,Y,,State DEP,
80,26,2021-10-23,M. Chen,INS-40285,Environmental Compliance,Fail,54,0,Y,05/30/2022,State DOT,Cited violation
81,27,06-14-2024,H. Lee,INS-24584,Quality Control,Pass,84,0,N,,FTA,Escalated to state
82,27,2023/08/07,S. Williams,INS-63070,Final Walkthrough,Pass with Conditions,60,?,Y,05/28/2022,FAA,
83,27,11/14/2023,I. Jackson,INS-89576,Electrical,Fail,44,0,Y,,FAA,Follow-up required
84,28,07-27-2022,H. Lee,INS-60322,Environmental Compliance,Pass,82,0,N,,FAA,
